epoch,learning_rate,loss,step
27.0,1e-05,0.4859,6130
27.05,1e-05,0.5215,6140
27.09,1e-05,0.4377,6150
27.14,1e-05,0.4595,6160
27.18,1e-05,0.4993,6170
27.22,1e-05,0.5095,6180
27.27,1e-05,0.5075,6190
27.31,1e-05,0.5171,6200
27.36,1e-05,0.5749,6210
27.4,1e-05,0.4959,6220
27.44,1e-05,0.4837,6230
27.49,1e-05,0.572,6240
27.53,1e-05,0.5331,6250
27.58,1e-05,0.573,6260
27.62,1e-05,0.4973,6270
27.67,1e-05,0.5856,6280
27.71,1e-05,0.5503,6290
27.75,1e-05,0.4971,6300
27.8,1e-05,0.5545,6310
27.84,1e-05,0.5532,6320
27.89,1e-05,0.592,6330
27.93,1e-05,0.5384,6340
27.97,1e-05,0.5632,6350
28.02,1e-05,0.575,6360
28.06,1e-05,0.5462,6370
28.11,1e-05,0.517,6380
28.15,1e-05,0.4439,6390
28.19,1e-05,0.4409,6400
28.24,1e-05,0.4852,6410
28.28,1e-05,0.4023,6420
28.33,1e-05,0.4308,6430
28.37,1e-05,0.4663,6440
28.41,1e-05,0.5963,6450
28.46,1e-05,0.4606,6460
28.5,1e-05,0.4392,6470
28.55,1e-05,0.3993,6480
28.59,1e-05,0.4469,6490
28.63,1e-05,0.5229,6500
28.68,1e-05,0.4391,6510
28.72,1e-05,0.4219,6520
28.77,1e-05,0.475,6530
28.81,1e-05,0.6471,6540
28.85,1e-05,0.4453,6550
28.9,1e-05,0.4885,6560
28.94,1e-05,0.4568,6570
28.99,1e-05,0.4023,6580
29.03,1e-05,0.4266,6590
29.07,1e-05,0.4648,6600
29.12,1e-05,0.4499,6610
29.16,1e-05,0.4466,6620
29.21,1e-05,0.4351,6630
29.25,1e-05,0.4482,6640
29.3,1e-05,0.398,6650
29.34,1e-05,0.5208,6660
29.38,1e-05,0.4303,6670
29.43,1e-05,0.4195,6680
29.47,1e-05,0.4439,6690
29.52,1e-05,0.4407,6700
29.56,1e-05,0.463,6710
29.6,1e-05,0.4449,6720
29.65,1e-05,0.4672,6730
29.69,1e-05,0.4316,6740
29.74,1e-05,0.4325,6750
29.78,1e-05,0.5503,6760
29.82,1e-05,0.4064,6770
29.87,1e-05,0.4823,6780
29.91,1e-05,0.49,6790
29.96,1e-05,0.4316,6800
30.0,1e-05,0.457,6810
30.04,1e-05,0.4102,6820
30.09,1e-05,0.4408,6830
30.13,1e-05,0.389,6840
30.18,1e-05,0.3769,6850
30.22,1e-05,0.3723,6860
30.26,1e-05,0.4206,6870
30.31,1e-05,0.3742,6880
30.35,1e-05,0.4072,6890
30.4,1e-05,0.5038,6900
30.44,1e-05,0.5447,6910
30.48,1e-05,0.4215,6920
30.53,1e-05,0.4101,6930
30.57,1e-05,0.4016,6940
30.62,1e-05,0.4791,6950
30.66,1e-05,0.4133,6960
30.7,1e-05,0.4596,6970
30.75,1e-05,0.4387,6980
30.79,1e-05,0.3876,6990
30.84,1e-05,0.387,7000
30.88,1e-05,0.4906,7010
30.93,1e-05,0.4265,7020
30.97,1e-05,0.5026,7030
31.01,1e-05,0.4378,7040
31.06,1e-05,0.3401,7050
31.1,1e-05,0.3978,7060
31.15,1e-05,0.4305,7070
31.19,1e-05,0.4382,7080
31.23,1e-05,0.3736,7090
31.28,1e-05,0.3494,7100
31.32,1e-05,0.393,7110
31.37,1e-05,0.367,7120
31.41,1e-05,0.4804,7130
31.45,1e-05,0.4001,7140
31.5,1e-05,0.4241,7150
31.54,1e-05,0.4583,7160
31.59,1e-05,0.3865,7170
31.63,1e-05,0.4219,7180
31.67,1e-05,0.479,7190
31.72,1e-05,0.3593,7200
31.76,1e-05,0.3972,7210
31.81,1e-05,0.4328,7220
31.85,1e-05,0.4093,7230
31.89,1e-05,0.4369,7240
31.94,1e-05,0.4686,7250
31.98,1e-05,0.4978,7260
32.03,1e-05,0.3889,7270
32.07,1e-05,0.492,7280
32.11,1e-05,0.3837,7290
32.16,1e-05,0.4021,7300
32.2,1e-05,0.4146,7310
32.25,1e-05,0.3892,7320
32.29,1e-05,0.3736,7330
32.33,1e-05,0.3205,7340
32.38,1e-05,0.441,7350
32.42,1e-05,0.3834,7360
32.47,1e-05,0.3798,7370
32.51,1e-05,0.4392,7380
32.56,1e-05,0.3756,7390
32.6,1e-05,0.3568,7400
32.64,1e-05,0.4559,7410
32.69,1e-05,0.3728,7420
32.73,1e-05,0.387,7430
32.78,1e-05,0.4404,7440
32.82,1e-05,0.3444,7450
32.86,1e-05,0.4154,7460
32.91,1e-05,0.3762,7470
32.95,1e-05,0.4662,7480
33.0,1e-05,0.377,7490
33.04,1e-05,0.3901,7500
33.08,1e-05,0.4151,7510
33.13,1e-05,0.4372,7520
33.17,1e-05,0.3683,7530
33.22,1e-05,0.4383,7540
33.26,1e-05,0.3531,7550
33.3,1e-05,0.3592,7560
33.35,1e-05,0.41,7570
33.39,1e-05,0.3853,7580
33.44,1e-05,0.4275,7590
33.48,1e-05,0.4082,7600
33.52,1e-05,0.3073,7610
33.57,1e-05,0.4013,7620
33.61,1e-05,0.3625,7630
33.66,1e-05,0.42,7640
33.7,1e-05,0.3165,7650
33.74,1e-05,0.3617,7660
33.79,1e-05,0.4084,7670
33.83,1e-05,0.3911,7680
33.88,1e-05,0.443,7690
33.92,1e-05,0.4498,7700
33.96,1e-05,0.3476,7710
34.01,1e-05,0.3975,7720
34.05,1e-05,0.4071,7730
34.1,1e-05,0.3666,7740
34.14,1e-05,0.3686,7750
34.19,1e-05,0.3482,7760
34.23,1e-05,0.3292,7770
34.27,1e-05,0.35,7780
34.32,1e-05,0.3479,7790
34.36,1e-05,0.3546,7800
34.41,1e-05,0.3985,7810
34.45,1e-05,0.4693,7820
34.49,1e-05,0.3742,7830
34.54,1e-05,0.3611,7840
34.58,1e-05,0.2883,7850
34.63,1e-05,0.437,7860
34.67,1e-05,0.3976,7870
34.71,1e-05,0.4005,7880
34.76,1e-05,0.3557,7890
34.8,1e-05,0.3369,7900
34.85,1e-05,0.3548,7910
34.89,1e-05,0.3425,7920
34.93,1e-05,0.3939,7930
34.98,1e-05,0.3443,7940
35.02,1e-05,0.3826,7950
35.07,1e-05,0.3295,7960
35.11,1e-05,0.3239,7970
35.15,1e-05,0.319,7980
35.2,1e-05,0.3345,7990
35.24,1e-05,0.3081,8000
35.29,1e-05,0.4073,8010
35.33,1e-05,0.342,8020
35.37,1e-05,0.3388,8030
35.42,1e-05,0.3469,8040
35.46,1e-05,0.3462,8050
35.51,1e-05,0.389,8060
35.55,1e-05,0.3721,8070
35.59,1e-05,0.3674,8080
35.64,1e-05,0.4642,8090
35.68,1e-05,0.3463,8100
35.73,1e-05,0.418,8110
35.77,1e-05,0.2971,8120
35.81,1e-05,0.3119,8130
35.86,1e-05,0.3703,8140
35.9,1e-05,0.3614,8150
35.95,1e-05,0.3366,8160
35.99,1e-05,0.322,8170
36.04,1e-05,0.3237,8180
36.08,1e-05,0.3205,8190
36.12,1e-05,0.2927,8200
36.17,1e-05,0.3499,8210
36.21,1e-05,0.3605,8220
36.26,1e-05,0.3131,8230
36.3,1e-05,0.3382,8240
36.34,1e-05,0.3258,8250
36.39,1e-05,0.289,8260
36.43,1e-05,0.3048,8270
36.48,1e-05,0.4068,8280
36.52,1e-05,0.308,8290
